rua_errada,limite_inicial,limite_final,rua_correta
Rua Maria Júlia tem q subir na praça o portao é na lateral vizinho ao portao da ames perfumaria,1,99999,Rua Maria Júlia
Rua Bias Mendes 1301,1,99999,Rua Bias Mendes
